x, y
0.010070493454179255, 1.0002560819462227
0.17623363544813697, 0.9480153649167734
0.297079556898288, 0.8619718309859155
0.41289023162134947, 0.7498079385403329
0.5287009063444109, 0.6176696542893726
0.6797583081570997, 0.4578745198463508
0.8459214501510574, 0.29807938540332907
1.0221550855991943, 0.17208706786171574
1.2336354481369587, 0.0737516005121639
1.62134944612286, 0.006145966709346991
1.797583081570997, -0.0046094750320102434
2.190332326283988, -0.0046094750320102434
2.4572004028197383, -0.0046094750320102434
2.809667673716012, -0.0046094750320102434
3.282980866062437, -0.0046094750320102434
3.7512588116817724, -0.0030729833546734955
4.315206445115811, -0.0046094750320102434
4.7985901309164145, -0.0046094750320102434
5, -0.006145966709346991
